,Label
0,display
1,camera
2,performance
3,camera
4,performance
5,camera
6,performance
7,camera
8,camera
9,value for money
10,performance
11,display
12,performance
13,value for money
14,performance
15,camera
16,camera
17,performance
18,display
19,value for money
20,value for money
21,display
22,performance
23,camera
24,performance
25,display
26,camera
27,display
28,camera
29,display
30,display
31,camera
32,value for money
33,camera
34,performance
35,camera
36,performance
37,display
38,performance
39,display
40,value for money
41,performance
42,value for money
43,performance
44,camera
45,display
46,display
47,value for money
48,camera
49,value for money
50,value for money
51,camera
52,display
53,battery
54,value for money
55,camera
56,camera
57,performance
58,performance
59,display
60,value for money
61,camera
62,display
63,display
64,camera
65,camera
66,display
67,battery
68,value for money
69,performance
70,camera
71,performance
72,value for money
73,value for money
74,display
75,value for money
76,display
77,performance
78,display
79,battery
80,value for money
81,value for money
82,display
83,value for money
84,value for money
85,value for money
86,camera
87,value for money
88,display
89,performance
90,camera
91,display
92,camera
93,battery
94,display
95,battery
96,battery
97,performance
98,performance
99,value for money
100,camera
101,value for money
102,value for money
103,display
104,value for money
105,camera
106,battery
107,value for money
108,performance
109,performance
110,performance
111,value for money
112,display
113,battery
114,value for money
115,performance
116,display
117,performance
118,camera
119,battery
120,camera
121,display
122,value for money
123,display
124,camera
125,value for money
126,display
127,battery
128,value for money
129,value for money
130,performance
131,value for money
132,performance
133,battery
134,performance
135,camera
136,value for money
137,value for money
138,performance
139,value for money
140,performance
141,battery
142,display
143,battery
144,battery
145,value for money
146,camera
147,camera
148,display
149,battery
150,display
151,value for money
152,display
153,display
154,value for money
155,value for money
156,display
157,value for money
158,camera
159,display
160,value for money
161,value for money
162,camera
163,value for money
164,value for money
165,value for money
166,value for money
167,value for money
168,camera
169,display
170,performance
171,value for money
172,battery
173,camera
174,camera
175,display
176,display
177,display
178,display
179,value for money
180,camera
181,value for money
182,battery
183,performance
184,value for money
185,display
186,value for money
187,display
188,value for money
189,battery
190,value for money
191,performance
192,camera
193,battery
194,display
195,battery
196,value for money
197,value for money
198,display
199,camera
200,display
201,battery
202,camera
203,value for money
204,display
205,camera
206,camera
207,value for money
208,performance
209,camera
210,display
211,display
212,value for money
213,value for money
214,display
215,performance
216,display
217,value for money
218,value for money
219,camera
220,value for money
221,camera
222,camera
223,camera
224,battery
225,display
226,performance
227,battery
228,value for money
229,performance
230,camera
231,camera
232,display
233,performance
234,display
235,performance
236,battery
237,camera
238,value for money
239,performance
240,camera
241,camera
242,camera
243,camera
244,camera
245,value for money
246,value for money
247,value for money
248,performance
249,camera
250,display
251,value for money
252,value for money
253,camera
254,value for money
255,performance
256,display
257,value for money
258,display
259,camera
260,value for money
261,performance
262,display
263,camera
264,display
265,value for money
266,performance
267,value for money
268,camera
269,battery
270,battery
271,display
272,display
273,value for money
274,display
275,value for money
276,display
277,value for money
278,display
279,value for money
280,battery
281,camera
282,performance
283,value for money
284,value for money
285,value for money
286,display
287,value for money
288,value for money
289,battery
290,value for money
291,display
292,value for money
293,camera
294,performance
295,camera
296,battery
297,value for money
298,display
299,value for money
300,battery
301,camera
302,display
303,value for money
304,display
305,display
306,value for money
307,value for money
308,value for money
309,value for money
310,performance
311,display
312,value for money
313,display
314,value for money
315,value for money
316,value for money
317,performance
318,display
319,performance
320,display
321,display
322,display
323,camera
324,value for money
325,performance
326,performance
327,value for money
328,camera
329,battery
330,display
331,performance
332,performance
333,camera
334,value for money
335,value for money
336,battery
337,value for money
338,camera
339,value for money
340,display
341,camera
342,performance
343,value for money
344,display
345,value for money
346,performance
347,battery
348,value for money
349,value for money
350,battery
351,value for money
352,display
353,camera
354,value for money
355,value for money
356,value for money
357,performance
358,performance
359,performance
360,display
361,display
362,display
363,battery
364,display
365,performance
366,performance
367,display
368,display
369,value for money
370,display
371,display
372,battery
373,battery
374,value for money
375,performance
376,display
377,performance
378,camera
379,camera
380,display
381,camera
382,value for money
383,value for money
384,value for money
385,value for money
386,camera
387,value for money
388,value for money
389,value for money
390,display
391,camera
392,camera
393,performance
394,battery
395,value for money
396,battery
397,display
398,value for money
399,value for money
400,camera
401,display
402,display
403,display
404,value for money
405,display
406,value for money
407,performance
408,battery
409,value for money
410,performance
411,performance
412,value for money
413,camera
414,value for money
415,display
416,camera
417,value for money
418,display
419,value for money
420,camera
421,value for money
422,camera
423,camera
424,value for money
425,camera
426,camera
427,display
428,display
429,display
430,value for money
431,performance
432,battery
433,value for money
434,display
435,value for money
436,display
437,value for money
438,performance
439,value for money
440,battery
441,value for money
442,performance
443,camera
444,value for money
445,value for money
446,value for money
447,display
448,performance
449,value for money
450,display
451,performance
452,camera
453,battery
454,battery
455,performance
456,battery
457,camera
458,performance
459,display
460,value for money
461,camera
462,display
463,display
464,performance
465,value for money
466,value for money
467,value for money
468,display
469,camera
470,display
471,display
472,value for money
473,performance
474,value for money
475,camera
476,value for money
477,display
478,value for money
479,display
480,performance
481,battery
482,value for money
483,performance
484,value for money
485,value for money
486,value for money
487,value for money
488,value for money
489,display
490,value for money
491,display
492,display
493,value for money
494,display
495,camera
496,camera
497,display
498,value for money
499,value for money
500,performance
501,value for money
502,performance
503,display
504,camera
505,display
506,battery
507,camera
508,value for money
509,display
510,value for money
511,display
512,camera
513,camera
514,display
515,value for money
516,battery
517,value for money
518,display
519,performance
520,battery
521,value for money
522,value for money
523,performance
524,display
525,performance
526,camera
527,value for money
528,performance
529,battery
530,performance
531,display
532,value for money
533,battery
534,camera
535,camera
536,value for money
537,value for money
538,value for money
539,display
540,display
541,value for money
542,value for money
543,performance
544,value for money
545,display
546,value for money
547,battery
548,camera
549,display
550,value for money
551,camera
552,camera
553,display
554,display
555,camera
556,display
557,performance
558,performance
559,battery
560,display
