,Label
0,Negative
1,Positive
2,Positive
3,Positive
4,Negative
5,Negative
6,Negative
7,Negative
8,Negative
9,Negative
10,Negative
11,Negative
12,Positive
13,Positive
14,Negative
15,Negative
16,Negative
17,Positive
18,Positive
19,Negative
20,Positive
21,Negative
22,Positive
23,Negative
24,Negative
25,Positive
26,Positive
27,Negative
28,Positive
29,Negative
30,Negative
31,Positive
32,Positive
33,Negative
34,Negative
35,Negative
36,Negative
37,Positive
38,Negative
39,Positive
40,Positive
41,Positive
42,Negative
43,Negative
44,Positive
45,Negative
46,Negative
47,Negative
48,Negative
49,Negative
50,Positive
51,Positive
52,Negative
53,Positive
54,Negative
55,Positive
56,Negative
57,Negative
58,Positive
59,Negative
60,Positive
61,Positive
62,Positive
63,Negative
64,Positive
65,Positive
66,Positive
67,Positive
68,Positive
69,Positive
70,Positive
71,Positive
72,Negative
73,Negative
74,Positive
75,Negative
76,Negative
77,Positive
78,Positive
79,Negative
80,Negative
81,Positive
82,Negative
83,Positive
84,Negative
85,Positive
86,Positive
87,Positive
88,Negative
89,Positive
90,Positive
91,Positive
92,Positive
93,Positive
94,Positive
95,Positive
96,Positive
97,Positive
98,Positive
99,Negative
100,Positive
101,Positive
102,Positive
103,Negative
104,Positive
105,Negative
106,Negative
107,Positive
108,Positive
109,Negative
110,Positive
111,Positive
112,Negative
113,Negative
114,Positive
115,Positive
116,Positive
117,Negative
118,Positive
119,Positive
120,Positive
121,Positive
122,Positive
123,Positive
124,Positive
125,Negative
126,Positive
127,Positive
128,Negative
129,Positive
130,Negative
131,Positive
132,Negative
133,Negative
134,Positive
135,Negative
136,Positive
137,Positive
138,Positive
139,Positive
140,Positive
141,Positive
142,Negative
143,Negative
144,Negative
145,Positive
146,Positive
147,Positive
148,Negative
149,Negative
150,Positive
151,Negative
152,Negative
153,Positive
154,Negative
155,Positive
156,Positive
157,Negative
158,Negative
159,Positive
160,Negative
161,Negative
162,Negative
163,Negative
164,Negative
165,Negative
166,Positive
167,Negative
168,Negative
169,Positive
170,Negative
171,Negative
172,Negative
173,Positive
174,Positive
175,Positive
176,Positive
177,Positive
178,Positive
179,Positive
180,Negative
181,Positive
182,Positive
183,Positive
184,Positive
185,Positive
186,Positive
187,Negative
188,Negative
189,Negative
190,Positive
191,Positive
192,Positive
193,Negative
194,Positive
195,Negative
196,Positive
197,Positive
198,Positive
199,Positive
200,Positive
201,Negative
202,Positive
203,Positive
204,Positive
205,Positive
206,Positive
207,Positive
208,Positive
209,Negative
210,Negative
211,Negative
212,Negative
213,Positive
214,Positive
215,Positive
216,Positive
217,Positive
218,Negative
219,Positive
220,Positive
221,Negative
222,Negative
223,Positive
224,Positive
225,Positive
226,Positive
227,Positive
228,Positive
229,Negative
230,Negative
231,Positive
232,Positive
233,Positive
234,Positive
235,Positive
236,Positive
237,Positive
238,Negative
239,Negative
240,Negative
241,Positive
242,Negative
243,Negative
244,Negative
245,Positive
246,Positive
247,Positive
248,Negative
249,Negative
250,Positive
251,Positive
252,Positive
253,Positive
254,Positive
255,Negative
256,Negative
257,Negative
258,Positive
259,Positive
260,Positive
261,Positive
262,Positive
263,Positive
264,Negative
265,Negative
266,Positive
267,Positive
268,Positive
269,Positive
270,Positive
271,Positive
272,Negative
273,Positive
274,Negative
275,Negative
276,Positive
277,Negative
278,Positive
279,Positive
280,Positive
281,Negative
282,Negative
283,Negative
284,Positive
285,Positive
286,Positive
287,Positive
288,Positive
289,Negative
290,Positive
291,Positive
292,Negative
293,Positive
294,Positive
295,Negative
296,Positive
297,Positive
298,Positive
299,Positive
300,Negative
301,Positive
302,Positive
303,Positive
304,Negative
305,Positive
306,Negative
307,Positive
308,Negative
309,Positive
310,Negative
311,Positive
312,Negative
313,Positive
314,Positive
315,Negative
316,Negative
317,Negative
318,Negative
319,Negative
320,Positive
321,Positive
322,Positive
323,Positive
324,Positive
325,Positive
326,Positive
327,Negative
328,Negative
329,Negative
330,Positive
331,Positive
332,Negative
333,Positive
334,Negative
335,Positive
336,Positive
337,Positive
338,Positive
339,Negative
340,Negative
341,Positive
342,Positive
343,Positive
344,Positive
345,Positive
346,Positive
347,Negative
348,Negative
349,Positive
350,Negative
351,Positive
352,Positive
353,Positive
354,Positive
355,Negative
356,Negative
357,Negative
358,Negative
359,Negative
360,Positive
361,Positive
362,Negative
363,Negative
364,Positive
365,Negative
366,Negative
367,Negative
368,Positive
369,Negative
370,Positive
371,Positive
372,Negative
373,Positive
374,Positive
375,Positive
376,Positive
377,Negative
378,Positive
379,Negative
380,Positive
381,Negative
382,Positive
383,Positive
384,Positive
385,Positive
386,Negative
387,Positive
388,Positive
389,Positive
390,Positive
391,Negative
392,Negative
393,Positive
394,Positive
395,Positive
396,Positive
397,Positive
398,Positive
399,Positive
400,Positive
401,Positive
402,Negative
403,Positive
404,Positive
405,Positive
406,Positive
407,Positive
408,Negative
409,Positive
410,Negative
411,Positive
412,Negative
413,Positive
414,Negative
415,Positive
416,Negative
417,Negative
418,Positive
419,Negative
420,Positive
421,Negative
422,Negative
423,Negative
424,Negative
425,Positive
426,Positive
427,Positive
428,Negative
429,Positive
430,Positive
431,Positive
432,Positive
433,Negative
434,Positive
435,Positive
436,Positive
437,Positive
438,Negative
439,Positive
440,Positive
441,Positive
442,Negative
443,Positive
444,Negative
445,Positive
446,Positive
447,Positive
448,Positive
449,Positive
450,Positive
451,Negative
452,Negative
453,Positive
454,Negative
455,Negative
456,Positive
457,Positive
458,Positive
