,Label
0,value for money
1,performance
2,display
3,value for money
4,camera
5,camera
6,performance
7,value for money
8,performance
9,camera
10,display
11,display
12,value for money
13,camera
14,camera
15,value for money
16,camera
17,camera
18,camera
19,performance
20,performance
21,value for money
22,performance
23,display
24,battery
25,display
26,camera
27,display
28,camera
29,value for money
30,performance
31,camera
32,camera
33,display
34,value for money
35,camera
36,battery
37,display
38,performance
39,camera
40,value for money
41,performance
42,value for money
43,performance
44,display
45,camera
46,performance
47,battery
48,display
49,performance
50,value for money
51,performance
52,value for money
53,performance
54,display
55,performance
56,battery
57,performance
58,camera
59,value for money
60,performance
61,value for money
62,value for money
63,performance
64,performance
65,camera
66,performance
67,value for money
68,battery
69,performance
70,performance
71,camera
72,display
73,display
74,performance
75,performance
76,value for money
77,camera
78,performance
79,performance
80,camera
81,display
82,performance
83,camera
84,display
85,display
86,performance
87,camera
88,camera
89,performance
90,performance
91,display
92,battery
93,battery
94,camera
95,value for money
96,display
97,camera
98,display
99,performance
100,value for money
101,performance
102,display
103,performance
104,performance
105,value for money
106,value for money
107,battery
108,battery
109,performance
110,display
111,battery
112,value for money
113,performance
114,performance
115,value for money
116,battery
117,display
118,performance
119,camera
120,performance
121,value for money
122,camera
123,value for money
124,camera
125,performance
126,value for money
127,performance
128,camera
129,battery
130,performance
131,performance
132,camera
133,display
134,camera
135,value for money
136,performance
137,display
138,value for money
139,display
140,performance
141,performance
142,value for money
143,value for money
144,value for money
145,display
146,display
147,performance
148,value for money
149,camera
150,display
151,value for money
152,value for money
153,value for money
154,performance
155,value for money
156,display
157,camera
158,performance
159,camera
160,performance
161,value for money
162,value for money
163,display
164,camera
165,battery
166,battery
167,performance
168,display
169,value for money
170,display
171,display
172,performance
173,battery
174,display
175,battery
176,camera
177,performance
178,performance
179,performance
180,camera
181,camera
182,performance
183,display
184,value for money
185,value for money
186,performance
187,value for money
188,value for money
189,display
190,value for money
191,performance
192,camera
193,performance
194,display
195,camera
196,performance
197,performance
198,camera
199,performance
200,camera
201,performance
202,performance
203,battery
204,display
205,camera
206,display
207,camera
208,display
209,display
210,value for money
211,display
212,performance
213,display
214,camera
215,performance
216,performance
217,camera
218,display
219,display
220,display
221,display
222,camera
223,performance
224,performance
225,performance
226,camera
227,camera
228,display
229,performance
230,value for money
231,display
232,performance
233,display
234,value for money
235,camera
236,camera
237,value for money
238,performance
239,performance
240,camera
241,value for money
242,display
243,performance
244,display
245,display
246,display
247,display
248,value for money
249,display
250,camera
251,performance
252,battery
253,display
254,camera
255,camera
256,camera
257,value for money
258,camera
259,performance
260,camera
261,performance
262,display
263,value for money
264,value for money
265,display
266,value for money
267,display
268,battery
269,display
270,performance
271,camera
272,camera
273,display
274,value for money
275,performance
276,value for money
277,performance
278,value for money
279,value for money
280,camera
281,camera
282,display
283,value for money
284,performance
285,camera
286,performance
287,camera
288,battery
289,camera
290,performance
291,display
292,value for money
293,display
294,value for money
295,camera
296,display
297,value for money
298,display
299,camera
300,performance
301,camera
302,display
303,display
304,display
305,value for money
306,value for money
307,value for money
308,display
309,value for money
310,display
311,value for money
312,value for money
313,value for money
314,camera
315,display
316,value for money
317,value for money
318,camera
319,camera
320,display
321,camera
322,performance
323,performance
324,display
325,camera
326,display
327,display
328,performance
329,value for money
330,value for money
331,display
332,value for money
333,value for money
334,camera
335,performance
336,display
337,camera
338,camera
339,camera
340,camera
341,camera
342,value for money
343,camera
344,battery
345,camera
346,value for money
347,performance
348,value for money
349,camera
350,value for money
351,display
352,camera
353,performance
354,value for money
355,display
356,display
357,battery
358,performance
359,display
360,display
361,display
362,value for money
363,display
364,display
365,value for money
366,camera
367,value for money
368,display
369,camera
370,camera
371,camera
372,display
373,value for money
374,display
375,camera
376,display
377,display
378,battery
379,value for money
380,display
381,display
382,display
383,performance
384,camera
385,display
386,performance
387,performance
388,battery
389,value for money
390,value for money
391,value for money
392,value for money
393,display
394,value for money
395,display
396,performance
397,display
398,camera
399,display
400,display
401,display
402,display
403,display
404,camera
405,performance
406,display
407,camera
408,value for money
409,performance
410,performance
411,display
412,value for money
413,value for money
414,battery
415,camera
416,value for money
417,display
418,value for money
419,display
420,display
421,value for money
422,camera
423,performance
424,value for money
425,value for money
426,value for money
427,display
428,value for money
429,performance
430,battery
431,camera
432,performance
433,performance
434,display
435,display
436,display
