,Label
0,Negative
1,Negative
2,Positive
3,Positive
4,Negative
5,Positive
6,Positive
7,Positive
8,Negative
9,Positive
10,Negative
11,Positive
12,Positive
13,Positive
14,Positive
15,Positive
16,Positive
17,Positive
18,Negative
19,Negative
20,Negative
21,Negative
22,Positive
23,Negative
24,Negative
25,Negative
26,Negative
27,Positive
28,Positive
29,Positive
30,Positive
31,Positive
32,Positive
33,Negative
34,Positive
35,Positive
36,Positive
37,Positive
38,Negative
39,Negative
40,Positive
41,Positive
42,Negative
43,Positive
44,Positive
45,Positive
46,Positive
47,Negative
48,Positive
49,Positive
50,Positive
51,Positive
52,Positive
53,Positive
54,Negative
55,Positive
56,Positive
57,Positive
58,Negative
59,Positive
60,Positive
61,Positive
62,Negative
63,Positive
64,Positive
65,Positive
66,Positive
67,Positive
68,Negative
69,Negative
70,Positive
71,Positive
72,Positive
73,Positive
74,Positive
75,Positive
76,Positive
77,Positive
78,Positive
79,Negative
80,Negative
81,Positive
82,Negative
83,Positive
84,Positive
85,Positive
86,Positive
87,Positive
88,Positive
89,Negative
90,Positive
91,Positive
92,Negative
93,Negative
94,Positive
95,Positive
96,Negative
97,Negative
98,Positive
99,Positive
100,Negative
101,Positive
102,Positive
103,Positive
104,Positive
105,Negative
106,Negative
107,Positive
108,Positive
109,Positive
110,Negative
111,Positive
112,Positive
113,Positive
114,Positive
115,Positive
116,Positive
117,Positive
118,Negative
119,Negative
120,Positive
121,Positive
122,Positive
123,Negative
124,Positive
125,Negative
126,Positive
127,Positive
128,Positive
129,Positive
130,Positive
131,Negative
132,Negative
133,Negative
134,Positive
135,Positive
136,Positive
137,Positive
138,Positive
139,Negative
140,Negative
141,Positive
142,Negative
143,Positive
144,Positive
145,Positive
146,Positive
147,Positive
148,Positive
149,Positive
150,Negative
151,Negative
152,Positive
153,Positive
154,Positive
155,Positive
156,Positive
157,Positive
158,Positive
159,Positive
160,Negative
161,Positive
162,Positive
163,Positive
164,Negative
165,Positive
166,Positive
167,Positive
168,Negative
169,Negative
170,Positive
171,Positive
172,Positive
