,Label
0,Negative
1,Negative
2,Positive
3,Negative
4,Negative
5,Positive
6,Negative
7,Positive
8,Positive
9,Negative
10,Negative
11,Negative
12,Negative
13,Positive
14,Negative
15,Negative
16,Negative
17,Positive
18,Positive
19,Negative
20,Positive
21,Negative
22,Positive
23,Positive
24,Negative
25,Positive
26,Positive
27,Positive
28,Negative
29,Negative
30,Negative
31,Positive
32,Negative
33,Negative
34,Positive
35,Negative
36,Negative
37,Negative
38,Positive
39,Positive
40,Negative
41,Negative
42,Negative
43,Positive
44,Positive
45,Positive
46,Positive
47,Positive
48,Positive
49,Positive
50,Positive
51,Positive
52,Positive
53,Positive
54,Positive
55,Negative
56,Positive
57,Positive
58,Positive
59,Positive
60,Negative
61,Negative
62,Positive
63,Negative
64,Positive
65,Negative
66,Negative
67,Negative
68,Positive
69,Positive
70,Positive
71,Negative
72,Positive
73,Negative
74,Positive
75,Positive
76,Positive
77,Positive
78,Positive
79,Negative
80,Positive
81,Positive
82,Positive
83,Negative
84,Positive
85,Negative
86,Positive
87,Positive
88,Positive
89,Positive
90,Positive
91,Negative
92,Positive
93,Negative
94,Positive
95,Positive
96,Positive
97,Positive
98,Negative
99,Negative
100,Negative
101,Negative
102,Negative
103,Positive
104,Positive
105,Negative
106,Positive
107,Negative
108,Negative
109,Positive
110,Positive
111,Positive
112,Positive
113,Negative
114,Positive
115,Positive
116,Positive
117,Positive
118,Positive
119,Negative
120,Negative
121,Positive
122,Positive
123,Positive
124,Negative
125,Positive
126,Negative
127,Negative
128,Negative
129,Negative
130,Negative
131,Negative
132,Positive
133,Negative
134,Positive
135,Negative
136,Negative
137,Negative
138,Positive
139,Positive
140,Positive
141,Positive
142,Negative
143,Positive
144,Negative
145,Negative
146,Negative
147,Negative
148,Positive
149,Positive
150,Negative
151,Negative
152,Positive
153,Positive
154,Positive
155,Positive
156,Positive
157,Negative
158,Negative
159,Negative
160,Negative
161,Positive
162,Negative
163,Positive
164,Negative
165,Negative
166,Positive
167,Negative
168,Negative
169,Negative
170,Positive
171,Positive
172,Negative
