,Label
0,display
1,value for money
2,value for money
3,display
4,display
5,camera
6,value for money
7,value for money
8,value for money
9,display
10,performance
11,performance
12,display
13,display
14,display
15,display
16,performance
17,camera
18,performance
19,performance
20,camera
21,value for money
22,value for money
23,value for money
24,display
25,value for money
26,value for money
27,display
28,performance
29,value for money
30,display
31,performance
32,display
33,performance
34,performance
35,battery
36,display
37,display
38,value for money
39,performance
40,display
41,display
42,performance
43,battery
44,display
45,camera
46,camera
47,battery
48,value for money
49,display
50,value for money
51,performance
52,value for money
53,value for money
54,value for money
55,display
56,camera
57,display
58,camera
59,performance
60,performance
61,camera
62,battery
63,performance
64,value for money
65,performance
66,performance
67,display
68,camera
69,performance
70,value for money
71,battery
72,value for money
73,display
74,camera
75,camera
76,camera
77,value for money
78,value for money
79,performance
80,camera
81,camera
82,performance
83,performance
84,value for money
85,camera
86,camera
87,display
88,value for money
89,camera
90,camera
91,camera
92,performance
93,display
94,value for money
95,display
96,performance
97,performance
98,performance
99,battery
100,performance
101,performance
102,performance
103,camera
104,performance
105,value for money
106,performance
107,performance
108,performance
109,value for money
110,value for money
111,camera
112,display
113,performance
114,value for money
115,performance
116,performance
117,value for money
118,value for money
119,camera
120,performance
121,value for money
122,value for money
123,display
124,display
125,display
126,performance
127,performance
128,camera
129,display
130,battery
131,display
132,value for money
133,display
134,value for money
135,battery
136,battery
137,battery
138,value for money
139,camera
140,value for money
141,value for money
142,performance
143,value for money
144,display
145,performance
146,display
147,performance
148,value for money
149,value for money
150,performance
151,performance
152,display
153,value for money
154,performance
155,value for money
156,performance
157,camera
158,display
159,camera
160,display
161,value for money
162,display
163,value for money
164,performance
165,performance
166,value for money
167,display
168,display
169,display
170,performance
171,display
172,display
173,value for money
174,value for money
175,camera
176,display
177,performance
178,value for money
179,value for money
180,battery
181,battery
182,value for money
183,display
184,value for money
185,performance
186,performance
187,performance
188,performance
189,camera
190,value for money
191,battery
192,value for money
193,camera
194,value for money
195,display
196,value for money
197,display
198,performance
199,value for money
200,display
201,value for money
202,camera
203,performance
204,display
205,battery
206,value for money
207,performance
208,battery
209,display
210,value for money
211,performance
212,value for money
213,display
214,performance
215,camera
216,value for money
217,value for money
218,performance
219,camera
220,value for money
221,battery
222,value for money
223,value for money
224,value for money
225,value for money
226,display
227,value for money
228,battery
229,display
230,display
231,display
232,battery
233,display
