,Label
0,Negative
1,Positive
2,Positive
3,Negative
4,Negative
5,Positive
6,Positive
7,Negative
8,Negative
9,Positive
10,Positive
11,Negative
12,Positive
13,Negative
14,Negative
15,Positive
16,Positive
17,Negative
18,Negative
19,Positive
20,Positive
21,Negative
22,Positive
23,Negative
24,Positive
25,Negative
26,Negative
27,Positive
28,Positive
29,Positive
30,Positive
31,Negative
32,Positive
33,Negative
34,Negative
35,Negative
36,Negative
37,Negative
38,Positive
39,Positive
40,Positive
41,Negative
42,Negative
43,Negative
44,Positive
45,Positive
46,Positive
47,Negative
48,Positive
49,Negative
50,Negative
51,Positive
52,Negative
53,Positive
54,Negative
55,Negative
56,Negative
57,Positive
58,Positive
59,Positive
60,Positive
61,Positive
62,Positive
63,Positive
64,Negative
65,Positive
66,Negative
67,Negative
68,Negative
69,Negative
70,Negative
71,Positive
72,Positive
73,Positive
74,Positive
75,Negative
76,Positive
77,Positive
78,Positive
79,Negative
80,Negative
81,Negative
82,Positive
83,Positive
84,Positive
85,Positive
86,Positive
87,Positive
88,Positive
89,Positive
90,Positive
91,Negative
92,Positive
93,Positive
94,Positive
95,Positive
96,Positive
97,Positive
98,Positive
99,Positive
100,Negative
101,Positive
102,Positive
103,Negative
104,Positive
105,Negative
106,Negative
107,Negative
108,Negative
109,Positive
110,Positive
111,Positive
112,Positive
113,Positive
114,Positive
115,Positive
116,Negative
117,Negative
118,Positive
119,Positive
120,Positive
121,Negative
122,Negative
123,Positive
124,Negative
125,Positive
126,Negative
127,Negative
128,Positive
129,Positive
130,Negative
131,Positive
132,Positive
133,Positive
134,Negative
135,Negative
136,Negative
137,Positive
138,Positive
139,Negative
140,Positive
141,Positive
142,Positive
143,Positive
144,Positive
145,Positive
146,Positive
147,Positive
148,Positive
149,Positive
150,Positive
151,Positive
152,Negative
153,Positive
154,Negative
155,Positive
156,Positive
157,Negative
158,Positive
159,Positive
160,Positive
161,Negative
162,Negative
163,Positive
164,Positive
165,Negative
166,Positive
167,Negative
168,Positive
169,Positive
170,Positive
171,Positive
172,Negative
173,Positive
174,Negative
175,Negative
176,Positive
177,Positive
178,Negative
179,Positive
180,Negative
181,Positive
182,Positive
183,Positive
184,Positive
185,Negative
186,Negative
187,Negative
188,Positive
189,Positive
190,Negative
191,Negative
192,Positive
193,Positive
194,Negative
195,Negative
196,Positive
197,Positive
198,Positive
199,Positive
200,Negative
201,Positive
202,Positive
203,Negative
204,Negative
205,Negative
206,Positive
207,Positive
208,Positive
209,Negative
210,Negative
211,Positive
212,Positive
213,Positive
214,Negative
215,Negative
216,Negative
217,Positive
218,Negative
219,Negative
220,Negative
221,Positive
222,Positive
223,Positive
224,Positive
225,Negative
226,Positive
227,Negative
228,Positive
229,Negative
230,Positive
231,Negative
232,Positive
233,Positive
234,Positive
235,Positive
236,Positive
237,Positive
238,Positive
239,Positive
240,Positive
241,Negative
242,Positive
243,Negative
244,Positive
245,Negative
246,Positive
247,Negative
248,Positive
249,Positive
250,Negative
251,Positive
252,Negative
253,Negative
254,Negative
255,Positive
256,Positive
257,Negative
258,Positive
259,Positive
260,Negative
261,Negative
262,Negative
263,Positive
264,Negative
265,Negative
266,Negative
267,Negative
268,Negative
269,Negative
270,Positive
271,Negative
272,Negative
273,Positive
274,Negative
275,Positive
276,Positive
277,Negative
278,Positive
279,Positive
280,Negative
281,Negative
282,Negative
283,Positive
284,Positive
285,Positive
286,Positive
287,Negative
288,Negative
289,Positive
290,Negative
291,Positive
292,Positive
293,Positive
294,Negative
295,Positive
296,Positive
297,Positive
298,Positive
299,Negative
300,Positive
301,Negative
302,Positive
303,Positive
304,Positive
305,Positive
306,Positive
307,Negative
308,Negative
309,Positive
310,Positive
311,Negative
312,Positive
313,Positive
314,Positive
315,Positive
316,Positive
317,Negative
318,Positive
319,Negative
320,Positive
321,Negative
322,Negative
323,Negative
324,Positive
325,Positive
326,Negative
327,Positive
328,Negative
329,Negative
330,Positive
331,Negative
332,Positive
333,Positive
334,Positive
335,Negative
336,Positive
337,Positive
338,Negative
339,Negative
340,Negative
341,Positive
342,Positive
343,Negative
344,Positive
345,Negative
346,Positive
347,Positive
348,Negative
349,Negative
350,Positive
351,Negative
352,Positive
353,Positive
354,Negative
355,Positive
356,Positive
357,Negative
358,Negative
359,Positive
360,Positive
361,Positive
362,Positive
363,Positive
364,Negative
365,Positive
366,Positive
367,Positive
368,Negative
369,Positive
370,Negative
371,Positive
372,Positive
373,Negative
374,Positive
375,Positive
376,Positive
377,Positive
378,Positive
379,Negative
380,Positive
381,Positive
382,Positive
383,Negative
384,Positive
385,Negative
386,Negative
387,Negative
388,Positive
389,Positive
390,Positive
391,Positive
392,Positive
393,Positive
394,Positive
395,Positive
396,Positive
397,Positive
398,Positive
399,Positive
400,Positive
401,Positive
402,Positive
403,Negative
404,Negative
405,Negative
406,Negative
407,Positive
408,Negative
409,Positive
410,Positive
411,Positive
412,Positive
413,Negative
414,Negative
415,Positive
416,Positive
417,Negative
418,Positive
419,Positive
420,Positive
421,Positive
422,Positive
423,Negative
424,Positive
425,Positive
426,Positive
427,Negative
428,Negative
429,Positive
430,Negative
431,Negative
432,Positive
433,Negative
434,Negative
435,Negative
436,Negative
437,Positive
438,Positive
439,Positive
440,Positive
441,Positive
442,Negative
443,Negative
444,Positive
445,Negative
446,Negative
447,Negative
448,Positive
449,Positive
450,Negative
451,Positive
452,Positive
453,Positive
454,Negative
455,Positive
456,Negative
457,Positive
458,Positive
