,Label
0,display
1,camera
2,value for money
3,value for money
4,performance
5,value for money
6,value for money
7,performance
8,camera
9,value for money
10,display
11,value for money
12,performance
13,performance
14,value for money
15,value for money
16,camera
17,performance
18,performance
19,display
20,display
21,camera
22,performance
23,camera
24,battery
25,performance
26,display
27,display
28,performance
29,camera
30,display
31,camera
32,value for money
33,display
34,value for money
35,display
36,camera
37,value for money
38,display
39,performance
40,value for money
41,value for money
42,value for money
43,performance
44,camera
45,camera
46,battery
47,display
48,value for money
49,value for money
50,display
51,performance
52,value for money
53,value for money
54,display
55,value for money
56,camera
57,display
58,performance
59,display
60,value for money
61,value for money
62,camera
63,value for money
64,performance
65,battery
66,display
67,camera
68,camera
69,display
70,camera
71,performance
72,value for money
73,display
74,performance
75,camera
76,value for money
77,value for money
78,camera
79,performance
80,display
81,camera
82,performance
83,camera
84,display
85,camera
86,battery
87,performance
88,performance
89,display
90,value for money
91,performance
92,display
93,display
94,value for money
95,performance
96,performance
97,performance
98,display
99,battery
100,camera
101,performance
102,performance
103,battery
104,performance
105,battery
106,display
107,camera
108,battery
109,performance
110,camera
111,battery
112,battery
113,camera
114,value for money
115,value for money
116,value for money
117,camera
118,battery
119,display
120,camera
121,camera
122,camera
123,performance
124,battery
125,display
126,camera
127,performance
128,camera
129,camera
130,performance
131,camera
132,camera
133,camera
134,display
135,value for money
136,value for money
137,performance
138,performance
139,display
140,battery
141,battery
142,display
143,camera
144,value for money
145,camera
146,value for money
147,value for money
148,display
149,value for money
150,performance
151,camera
152,battery
153,battery
154,display
155,camera
156,value for money
157,camera
158,performance
159,value for money
160,camera
161,camera
162,camera
163,performance
164,value for money
165,camera
166,performance
167,value for money
168,performance
169,value for money
170,value for money
171,value for money
172,display
173,camera
174,camera
175,camera
176,battery
177,performance
178,performance
179,performance
180,display
181,camera
182,display
183,camera
184,battery
185,camera
186,display
187,camera
188,battery
189,display
190,performance
191,camera
192,value for money
193,display
194,camera
195,camera
196,value for money
197,value for money
198,camera
199,performance
200,value for money
201,display
202,battery
203,value for money
204,value for money
205,battery
206,camera
207,display
208,camera
209,performance
210,display
211,camera
212,display
213,display
214,camera
215,battery
216,camera
217,performance
218,performance
219,performance
220,camera
221,display
222,performance
223,performance
224,display
225,performance
226,camera
227,value for money
228,performance
229,camera
230,value for money
231,camera
232,battery
233,value for money
234,camera
235,value for money
236,battery
237,value for money
238,value for money
239,battery
240,value for money
241,performance
242,camera
243,performance
244,display
245,camera
246,camera
247,camera
248,value for money
249,performance
250,display
251,performance
252,performance
253,value for money
254,performance
255,camera
256,battery
257,performance
258,display
259,performance
260,display
261,display
262,camera
263,camera
264,camera
265,camera
266,camera
267,battery
268,value for money
269,performance
270,performance
271,battery
272,performance
273,performance
274,display
275,value for money
276,camera
277,value for money
278,battery
279,camera
280,display
281,performance
282,battery
283,value for money
284,value for money
285,camera
286,performance
287,performance
288,performance
289,value for money
290,camera
291,value for money
292,performance
293,battery
294,display
295,value for money
296,camera
297,camera
298,display
299,camera
300,camera
301,camera
302,performance
303,battery
304,camera
305,battery
306,camera
307,value for money
308,performance
309,value for money
310,performance
311,camera
312,display
313,display
314,performance
315,display
316,value for money
317,camera
318,value for money
319,battery
320,camera
321,value for money
322,camera
323,performance
324,display
325,performance
326,performance
327,camera
328,value for money
329,battery
330,camera
331,camera
332,camera
333,camera
334,battery
335,performance
336,battery
337,camera
338,camera
339,display
340,performance
341,value for money
342,display
343,value for money
344,display
345,battery
346,display
347,camera
348,value for money
349,battery
350,display
351,value for money
352,value for money
353,performance
354,battery
355,camera
356,value for money
357,battery
358,camera
359,camera
360,camera
361,value for money
362,camera
363,value for money
364,camera
365,performance
366,performance
367,camera
368,battery
369,performance
370,camera
371,value for money
372,value for money
373,display
374,value for money
375,battery
376,display
377,performance
378,performance
379,camera
380,performance
381,value for money
382,value for money
383,value for money
384,display
385,battery
386,value for money
387,camera
388,battery
389,performance
390,camera
391,camera
392,battery
393,value for money
394,camera
395,camera
396,camera
397,performance
398,value for money
399,performance
400,camera
401,display
402,camera
403,value for money
404,performance
405,camera
406,performance
407,display
408,performance
409,value for money
410,value for money
411,performance
412,value for money
413,display
414,value for money
415,value for money
416,value for money
417,battery
418,performance
419,display
420,display
421,display
422,value for money
423,value for money
424,value for money
425,value for money
426,performance
427,value for money
428,display
429,performance
430,camera
431,performance
432,display
433,battery
434,value for money
435,camera
436,value for money
437,value for money
438,performance
439,performance
440,display
441,value for money
442,battery
443,performance
444,battery
445,performance
446,display
447,camera
448,performance
449,display
450,value for money
451,camera
452,value for money
453,camera
454,performance
455,value for money
456,camera
457,performance
458,value for money
459,battery
460,battery
461,battery
462,display
463,camera
464,performance
465,battery
466,camera
467,camera
468,camera
469,display
470,value for money
471,performance
472,value for money
473,value for money
474,value for money
475,display
476,value for money
477,value for money
478,value for money
479,performance
480,display
481,display
482,performance
483,value for money
484,camera
485,performance
486,performance
487,display
488,performance
489,value for money
490,display
491,camera
492,display
493,performance
494,value for money
495,battery
496,display
497,performance
498,performance
499,camera
500,display
501,camera
502,battery
503,value for money
504,battery
505,camera
506,display
507,value for money
508,performance
509,camera
510,performance
511,camera
512,camera
513,camera
514,performance
515,value for money
516,value for money
517,camera
518,value for money
519,camera
520,performance
521,camera
522,display
523,value for money
524,performance
525,battery
526,value for money
527,display
528,performance
529,camera
530,value for money
531,battery
532,performance
533,camera
534,value for money
535,value for money
536,camera
537,performance
538,camera
539,value for money
540,camera
541,performance
542,camera
543,camera
544,display
545,value for money
546,value for money
547,performance
548,camera
549,value for money
550,value for money
551,performance
552,value for money
553,value for money
554,battery
555,value for money
556,display
557,performance
558,value for money
559,display
