,Label
0,Negative
1,Positive
2,Positive
3,Negative
4,Positive
5,Positive
6,Negative
7,Positive
8,Positive
9,Positive
10,Positive
11,Negative
12,Positive
13,Negative
14,Positive
15,Positive
16,Negative
17,Negative
18,Positive
19,Positive
20,Positive
21,Positive
22,Negative
23,Positive
24,Positive
25,Negative
26,Positive
27,Positive
28,Positive
29,Positive
30,Negative
31,Positive
32,Negative
33,Positive
34,Negative
35,Positive
36,Negative
37,Negative
38,Negative
39,Negative
40,Negative
41,Positive
42,Negative
43,Negative
44,Positive
45,Negative
46,Positive
47,Negative
48,Negative
49,Negative
50,Negative
51,Positive
52,Positive
53,Positive
54,Negative
55,Negative
56,Positive
57,Negative
58,Negative
59,Positive
60,Negative
61,Negative
62,Negative
63,Positive
64,Positive
65,Positive
66,Negative
67,Negative
68,Positive
69,Negative
70,Negative
71,Negative
72,Negative
73,Negative
74,Negative
75,Positive
76,Negative
77,Positive
78,Negative
79,Positive
80,Positive
81,Negative
82,Negative
83,Positive
84,Negative
85,Positive
86,Positive
87,Negative
88,Positive
89,Positive
90,Negative
91,Negative
92,Negative
93,Positive
94,Negative
95,Positive
96,Positive
97,Positive
98,Positive
99,Positive
100,Negative
101,Negative
102,Positive
103,Positive
104,Positive
105,Positive
106,Negative
107,Negative
108,Positive
109,Negative
110,Negative
111,Negative
112,Positive
113,Negative
114,Negative
115,Positive
116,Negative
117,Positive
118,Negative
119,Positive
120,Positive
121,Positive
122,Negative
123,Positive
124,Positive
125,Positive
126,Positive
127,Negative
128,Positive
129,Positive
130,Negative
131,Positive
132,Negative
133,Negative
134,Positive
135,Positive
136,Negative
137,Negative
138,Negative
139,Negative
140,Positive
141,Positive
142,Negative
143,Positive
144,Positive
145,Positive
146,Negative
147,Negative
148,Negative
149,Positive
150,Positive
151,Positive
152,Positive
153,Positive
154,Positive
155,Negative
156,Negative
157,Positive
158,Positive
159,Positive
160,Negative
161,Negative
162,Positive
163,Negative
164,Positive
165,Positive
166,Positive
167,Positive
168,Positive
169,Positive
170,Negative
171,Positive
172,Positive
173,Positive
174,Positive
175,Positive
176,Negative
177,Negative
178,Negative
179,Positive
180,Negative
181,Positive
182,Negative
183,Positive
184,Negative
185,Positive
186,Positive
187,Positive
188,Positive
189,Positive
190,Negative
191,Negative
192,Positive
193,Positive
194,Negative
195,Negative
196,Positive
197,Positive
198,Positive
199,Negative
200,Negative
201,Positive
202,Positive
203,Negative
204,Positive
205,Negative
206,Positive
207,Positive
208,Negative
209,Positive
210,Positive
211,Positive
212,Positive
213,Positive
214,Positive
215,Negative
216,Positive
217,Negative
218,Positive
219,Positive
220,Positive
221,Negative
222,Negative
223,Positive
224,Positive
225,Positive
226,Negative
227,Negative
228,Positive
229,Positive
230,Positive
231,Positive
232,Positive
233,Positive
234,Negative
235,Positive
236,Positive
237,Positive
238,Negative
239,Negative
240,Positive
241,Negative
242,Negative
243,Positive
244,Positive
245,Positive
246,Positive
247,Positive
248,Positive
249,Positive
250,Negative
251,Positive
252,Negative
253,Negative
254,Negative
255,Positive
256,Negative
257,Negative
258,Negative
259,Positive
260,Negative
261,Positive
262,Positive
263,Positive
264,Negative
265,Positive
266,Positive
267,Positive
268,Positive
269,Negative
270,Positive
271,Positive
272,Negative
273,Positive
274,Positive
275,Negative
276,Positive
277,Negative
278,Positive
279,Positive
280,Negative
281,Positive
282,Positive
283,Negative
284,Negative
285,Positive
286,Positive
287,Negative
288,Negative
289,Negative
290,Positive
291,Negative
292,Positive
293,Negative
294,Negative
295,Negative
296,Negative
297,Positive
298,Positive
299,Negative
300,Positive
301,Positive
302,Positive
303,Positive
304,Positive
305,Positive
306,Negative
307,Positive
308,Negative
309,Negative
310,Negative
311,Negative
312,Positive
313,Negative
314,Positive
315,Negative
316,Positive
317,Positive
318,Positive
319,Positive
320,Positive
321,Positive
322,Negative
323,Positive
324,Positive
325,Negative
326,Negative
327,Negative
328,Negative
329,Positive
330,Positive
331,Negative
332,Negative
333,Positive
334,Negative
335,Positive
336,Negative
337,Positive
338,Positive
339,Positive
340,Positive
341,Positive
342,Positive
343,Positive
344,Positive
345,Positive
346,Positive
347,Positive
348,Negative
349,Negative
350,Negative
351,Negative
352,Positive
353,Positive
354,Positive
355,Negative
356,Negative
357,Positive
358,Negative
359,Positive
360,Positive
361,Positive
362,Positive
363,Positive
364,Negative
365,Positive
366,Negative
367,Negative
368,Positive
369,Positive
370,Negative
371,Negative
372,Negative
373,Positive
374,Negative
375,Negative
376,Positive
377,Negative
378,Negative
379,Positive
380,Positive
381,Positive
382,Positive
383,Positive
384,Positive
385,Positive
386,Positive
387,Negative
388,Negative
389,Positive
390,Negative
391,Negative
392,Positive
393,Negative
394,Positive
395,Positive
396,Positive
397,Negative
398,Positive
399,Positive
400,Positive
401,Negative
402,Positive
403,Positive
404,Positive
405,Negative
406,Negative
407,Positive
408,Positive
409,Negative
410,Negative
411,Positive
412,Negative
413,Negative
414,Negative
415,Positive
416,Positive
417,Negative
418,Negative
419,Negative
420,Positive
421,Negative
422,Positive
423,Negative
424,Negative
425,Positive
426,Positive
427,Negative
428,Positive
429,Negative
430,Positive
431,Negative
432,Negative
433,Positive
434,Negative
435,Negative
436,Positive
437,Positive
438,Positive
439,Positive
440,Negative
441,Negative
442,Positive
443,Negative
444,Negative
445,Positive
446,Positive
447,Negative
448,Positive
449,Negative
450,Positive
451,Positive
452,Negative
453,Negative
454,Negative
455,Positive
456,Negative
457,Positive
458,Positive
