,Label
0,Negative
1,Negative
2,Negative
3,Negative
4,Positive
5,Negative
6,Positive
7,Negative
8,Negative
9,Positive
10,Negative
11,Positive
12,Positive
13,Positive
14,Positive
15,Negative
16,Negative
17,Positive
18,Negative
19,Positive
20,Positive
21,Negative
22,Negative
23,Negative
24,Positive
25,Negative
26,Negative
27,Positive
28,Positive
29,Negative
30,Negative
31,Negative
32,Positive
33,Negative
34,Negative
35,Negative
36,Negative
37,Negative
38,Negative
39,Negative
40,Positive
41,Positive
42,Positive
43,Negative
44,Negative
45,Negative
46,Negative
47,Positive
48,Positive
49,Positive
50,Positive
51,Positive
52,Positive
53,Negative
54,Positive
55,Negative
56,Positive
57,Positive
58,Positive
59,Negative
60,Positive
61,Positive
62,Positive
63,Negative
64,Negative
65,Negative
66,Negative
67,Positive
68,Positive
69,Positive
70,Negative
71,Negative
72,Positive
73,Positive
74,Negative
75,Positive
76,Positive
77,Positive
78,Positive
79,Negative
80,Positive
81,Positive
82,Positive
83,Positive
84,Positive
85,Positive
86,Negative
87,Positive
88,Negative
89,Negative
90,Negative
91,Negative
92,Negative
93,Positive
94,Negative
95,Negative
96,Negative
97,Negative
98,Negative
99,Positive
100,Negative
101,Positive
102,Positive
103,Negative
104,Positive
105,Negative
106,Negative
107,Positive
108,Positive
109,Negative
110,Positive
111,Positive
112,Positive
113,Negative
114,Positive
115,Negative
116,Positive
117,Positive
118,Positive
119,Negative
120,Positive
121,Negative
122,Positive
123,Negative
124,Positive
125,Positive
126,Negative
127,Negative
128,Positive
129,Positive
130,Positive
131,Positive
132,Positive
133,Positive
134,Positive
135,Positive
136,Positive
137,Positive
138,Negative
139,Positive
140,Positive
141,Negative
142,Positive
143,Positive
144,Negative
145,Positive
146,Positive
147,Positive
148,Negative
149,Positive
150,Negative
151,Positive
152,Negative
153,Negative
154,Positive
155,Positive
156,Positive
157,Positive
158,Negative
159,Positive
160,Positive
161,Positive
162,Negative
163,Positive
164,Positive
165,Negative
166,Positive
167,Positive
168,Positive
169,Positive
170,Negative
171,Positive
172,Negative
