,Label
0,Negative
1,Negative
2,Negative
3,Positive
4,Negative
5,Negative
6,Positive
7,Positive
8,Negative
9,Negative
10,Positive
11,Negative
12,Positive
13,Positive
14,Negative
15,Negative
16,Negative
17,Positive
18,Positive
19,Negative
20,Positive
21,Positive
22,Negative
23,Negative
24,Positive
25,Positive
26,Negative
27,Positive
28,Negative
29,Negative
30,Positive
31,Positive
32,Negative
33,Negative
34,Negative
35,Negative
36,Negative
37,Negative
38,Positive
39,Positive
40,Positive
41,Positive
42,Positive
43,Positive
44,Negative
45,Positive
46,Positive
47,Positive
48,Positive
49,Negative
50,Positive
51,Negative
52,Negative
53,Positive
54,Negative
55,Positive
56,Negative
57,Positive
58,Negative
59,Negative
60,Negative
61,Negative
62,Negative
63,Positive
64,Negative
65,Negative
66,Positive
67,Positive
68,Positive
69,Negative
70,Positive
71,Negative
72,Positive
73,Negative
74,Positive
75,Positive
76,Negative
77,Positive
78,Positive
79,Positive
80,Negative
81,Negative
82,Positive
83,Negative
84,Negative
85,Positive
86,Positive
87,Positive
88,Positive
89,Negative
90,Negative
91,Positive
92,Negative
93,Positive
94,Positive
95,Negative
96,Negative
97,Positive
98,Positive
99,Negative
100,Positive
101,Positive
102,Negative
103,Positive
104,Positive
105,Positive
106,Positive
107,Negative
108,Negative
109,Negative
110,Negative
111,Negative
112,Positive
113,Negative
114,Positive
115,Negative
116,Positive
117,Positive
118,Positive
119,Negative
120,Positive
121,Positive
122,Negative
123,Negative
124,Positive
125,Negative
126,Negative
127,Negative
128,Positive
129,Positive
130,Negative
131,Negative
132,Negative
133,Negative
134,Positive
135,Positive
136,Negative
137,Negative
138,Positive
139,Positive
140,Positive
141,Positive
142,Positive
143,Negative
144,Positive
145,Negative
146,Negative
147,Positive
148,Negative
149,Negative
150,Positive
151,Positive
152,Negative
153,Negative
154,Negative
155,Negative
156,Negative
157,Positive
158,Negative
159,Negative
160,Negative
161,Negative
162,Positive
163,Negative
164,Positive
165,Negative
166,Positive
167,Negative
168,Positive
169,Positive
170,Negative
171,Negative
172,Negative
