,Label
0,display
1,display
2,value for money
3,display
4,performance
5,performance
6,display
7,battery
8,performance
9,camera
10,display
11,performance
12,value for money
13,performance
14,camera
15,performance
16,battery
17,battery
18,display
19,performance
20,value for money
21,camera
22,performance
23,performance
24,display
25,performance
26,battery
27,performance
28,camera
29,camera
30,camera
31,display
32,display
33,display
34,camera
35,performance
36,performance
37,value for money
38,performance
39,camera
40,value for money
41,value for money
42,performance
43,performance
44,display
45,camera
46,display
47,display
48,battery
49,performance
50,display
51,display
52,performance
53,display
54,performance
55,display
56,camera
57,battery
58,value for money
59,performance
60,performance
61,performance
62,camera
63,performance
64,display
65,value for money
66,value for money
67,value for money
68,value for money
69,display
70,performance
71,camera
72,performance
73,performance
74,display
75,performance
76,performance
77,display
78,value for money
79,battery
80,performance
81,performance
82,display
83,display
84,performance
85,value for money
86,display
87,display
88,performance
89,display
90,display
91,display
92,display
93,value for money
94,value for money
95,display
96,performance
97,camera
98,value for money
99,performance
100,display
101,value for money
102,performance
103,battery
104,value for money
105,display
106,display
107,performance
108,display
109,value for money
110,value for money
111,camera
112,display
113,performance
114,value for money
115,battery
116,value for money
117,display
118,value for money
119,performance
120,value for money
121,camera
122,display
123,battery
124,display
125,performance
126,performance
127,camera
128,performance
129,camera
130,performance
131,value for money
132,camera
133,performance
134,camera
135,display
136,performance
137,display
138,display
139,performance
140,camera
141,value for money
142,battery
143,display
144,performance
145,value for money
146,performance
147,performance
148,performance
149,performance
150,battery
151,performance
152,performance
153,camera
154,display
155,value for money
156,performance
157,performance
158,display
159,performance
160,performance
161,performance
162,battery
163,performance
164,performance
165,display
166,value for money
167,value for money
168,display
169,camera
170,performance
171,display
172,performance
173,value for money
174,value for money
175,display
176,battery
177,battery
178,value for money
179,performance
180,display
181,display
182,display
183,camera
184,camera
185,battery
186,display
187,performance
188,performance
189,camera
190,value for money
191,value for money
192,display
193,display
194,value for money
195,performance
196,value for money
197,performance
198,value for money
199,camera
200,value for money
201,camera
202,display
203,value for money
204,battery
205,camera
206,value for money
207,battery
208,display
209,performance
210,performance
211,performance
212,battery
213,value for money
214,value for money
215,value for money
216,performance
217,camera
218,display
219,value for money
220,battery
221,performance
222,performance
223,camera
224,performance
225,camera
226,value for money
227,display
228,value for money
229,display
230,display
231,value for money
232,display
233,display
234,display
235,battery
236,value for money
237,performance
238,display
239,battery
240,display
241,value for money
242,performance
243,display
244,performance
245,value for money
246,display
247,value for money
248,performance
249,display
250,display
251,value for money
252,value for money
253,value for money
254,battery
255,display
256,camera
257,performance
258,performance
259,performance
260,value for money
261,display
262,battery
263,value for money
264,performance
265,performance
266,value for money
267,value for money
268,value for money
269,value for money
270,display
271,performance
272,performance
273,value for money
274,performance
275,display
276,display
277,camera
278,display
279,performance
280,performance
281,display
282,value for money
283,performance
284,value for money
285,camera
286,camera
287,performance
288,value for money
289,performance
290,performance
291,battery
292,performance
293,performance
294,performance
295,display
296,display
297,display
298,value for money
299,camera
300,performance
301,display
302,value for money
303,performance
304,performance
305,battery
306,camera
307,battery
308,display
309,display
310,performance
311,display
312,performance
313,value for money
314,value for money
315,battery
316,camera
317,camera
318,camera
319,performance
320,performance
321,value for money
322,display
323,camera
324,value for money
325,value for money
326,display
327,performance
328,battery
329,display
330,display
331,display
332,battery
333,display
334,battery
335,value for money
336,camera
337,performance
338,display
339,display
340,camera
341,camera
342,performance
343,value for money
344,value for money
345,display
346,value for money
347,display
348,display
349,camera
350,display
351,value for money
352,display
353,value for money
354,value for money
355,performance
356,battery
357,performance
358,performance
359,display
360,camera
361,value for money
362,display
363,value for money
364,value for money
365,performance
366,performance
367,performance
368,performance
369,performance
370,camera
371,value for money
372,performance
373,battery
374,display
375,value for money
376,value for money
377,performance
378,value for money
379,performance
380,camera
381,value for money
382,value for money
383,camera
384,display
385,performance
386,display
387,performance
388,battery
389,performance
390,display
391,performance
392,display
393,display
394,value for money
395,camera
396,value for money
397,value for money
398,performance
399,value for money
400,value for money
401,value for money
402,battery
403,performance
404,camera
405,camera
406,performance
407,performance
408,display
409,value for money
410,camera
411,performance
412,performance
413,value for money
414,performance
415,performance
416,performance
417,camera
418,camera
419,camera
420,value for money
421,display
422,performance
423,display
424,display
425,value for money
426,battery
427,value for money
428,display
429,performance
430,value for money
431,performance
432,value for money
433,display
434,value for money
435,value for money
436,value for money
437,display
438,performance
439,value for money
440,camera
441,value for money
442,display
443,battery
444,display
445,value for money
446,display
447,value for money
448,value for money
449,value for money
450,battery
451,performance
452,performance
453,performance
454,performance
455,camera
456,value for money
457,performance
458,value for money
459,display
460,display
461,performance
462,performance
463,value for money
464,display
465,performance
466,performance
467,performance
468,display
469,display
470,value for money
471,camera
472,value for money
473,display
474,camera
475,value for money
476,performance
477,performance
478,camera
479,performance
480,camera
481,camera
482,performance
483,display
484,camera
485,performance
486,camera
487,value for money
488,value for money
489,camera
490,camera
491,value for money
492,performance
493,display
494,display
495,value for money
496,performance
497,performance
498,camera
499,value for money
500,performance
501,display
502,value for money
503,display
504,display
505,camera
506,value for money
507,camera
508,battery
509,battery
510,camera
511,battery
512,camera
513,performance
514,value for money
515,battery
516,display
517,value for money
518,value for money
519,value for money
520,value for money
521,performance
522,battery
523,value for money
524,value for money
525,performance
526,camera
527,camera
528,battery
529,performance
530,performance
531,display
532,value for money
533,performance
534,value for money
535,display
536,display
537,display
538,battery
539,value for money
540,value for money
541,display
542,display
543,display
544,battery
545,display
546,display
547,camera
548,performance
549,value for money
550,display
551,camera
552,value for money
553,value for money
554,camera
555,camera
556,performance
557,value for money
558,display
559,camera
560,performance
561,performance
562,display
563,performance
564,display
565,camera
566,display
567,value for money
568,value for money
569,value for money
570,value for money
571,value for money
572,value for money
573,camera
574,performance
575,value for money
576,display
577,performance
578,display
579,display
580,performance
581,value for money
582,display
583,performance
584,display
585,value for money
586,value for money
587,display
588,performance
589,value for money
590,display
591,display
592,performance
593,display
594,value for money
595,value for money
596,camera
597,value for money
598,value for money
599,camera
600,value for money
601,display
602,performance
603,performance
604,camera
605,value for money
606,display
607,performance
608,display
609,value for money
610,performance
611,value for money
612,performance
613,performance
614,display
615,display
616,value for money
617,performance
618,value for money
619,display
620,camera
621,value for money
622,performance
623,performance
624,display
625,camera
626,value for money
627,performance
628,display
629,performance
630,performance
631,performance
632,performance
633,value for money
634,camera
635,display
636,value for money
637,performance
638,performance
639,value for money
640,performance
641,value for money
642,display
643,battery
644,display
645,value for money
646,display
647,camera
648,battery
649,performance
650,display
651,battery
652,display
653,performance
654,value for money
655,performance
656,display
657,value for money
658,battery
659,performance
660,performance
661,battery
662,display
663,display
664,display
665,value for money
666,camera
667,performance
668,performance
669,performance
670,value for money
671,value for money
672,value for money
673,value for money
674,performance
675,display
676,performance
677,camera
678,camera
679,performance
680,performance
681,camera
682,performance
683,value for money
684,display
685,value for money
686,performance
687,battery
688,camera
689,camera
690,display
691,value for money
692,performance
693,camera
694,camera
695,value for money
696,camera
697,value for money
698,performance
699,value for money
700,value for money
701,camera
702,performance
703,camera
704,value for money
705,value for money
706,value for money
707,performance
708,display
709,performance
710,value for money
711,display
712,display
713,value for money
714,value for money
715,display
716,value for money
717,performance
718,performance
719,battery
720,value for money
721,performance
722,display
723,value for money
724,camera
725,value for money
726,display
727,value for money
728,display
729,display
730,performance
731,value for money
732,value for money
733,display
734,value for money
735,camera
736,display
737,value for money
738,display
739,display
740,value for money
741,value for money
742,value for money
743,camera
744,performance
745,value for money
746,performance
747,battery
748,performance
749,display
750,camera
751,battery
752,value for money
753,performance
754,value for money
755,performance
756,value for money
757,display
758,display
759,performance
760,performance
761,battery
762,value for money
763,display
764,camera
765,display
766,value for money
767,display
768,display
769,value for money
770,value for money
771,display
772,battery
773,value for money
774,value for money
775,camera
776,battery
777,value for money
778,display
779,performance
780,value for money
781,value for money
782,display
783,performance
784,display
785,value for money
786,display
787,battery
788,display
789,display
790,display
791,performance
792,value for money
793,display
794,value for money
795,value for money
796,value for money
797,performance
798,camera
799,value for money
800,value for money
801,display
802,battery
